Código Unb;Armazém;Código Região;Id Catálogo;Nome Catálogo;Código;Descrição;Ativo;Item Geral;Geral para regiões;Retornável;Descartavel;Camadas;Quantidade Palete;Quantidade Palete Dúzia;Fator;Código embalagem;Código tipo embalagem;Embalagem;Grupo;Subgrupo;Embalagem/Tipo produto;Altura do palete;Quantidade de Lastros/Camadas;Largura do item;Altura do item;Comprimento do item;Peso bruto do item;Base palete;Topo Palete;Barril;Água/Isotônico;Tipo Caixa;Quantidade de unidades por caixa;Fator14;Quantidade14;Fator21;Quantidade21;Fator28;Quantidade28;Fator35;Quantidade35;Fator42;Quantidade42;Código subtipo;Descrição subtipo;Ocupação extra;Pré-picking Marketplace
538;CDD-Jacarepaguá;;2.0;Brasil;253;SUKITA PET 1L CAIXA C/6;True;False;False;False;True;7;175;175;6.0;5002.0;5002.0;Pet 1,0L + àgua 330;50.0;5002.0;5002 - Pet 1,0L + àgua 330 (Tipo: 5002 - Pet 1,0L + àgua 330);1.87;25;18.0;24.1;27.0;6.45;False;False;False;False;;;0.56;50.0;0.42;100.0;0.448;125.0;0.4667;150.0;0.48;175.0;;;False;False
;;SAZ - Argentina;10.0;SAZ - Argentina;270;GAS CARBONICO 9 KGS;True;False;True;True;False;1;20;20;1.0;6012.0;6012.0;BARRIL SLIM;60.0;601.0;6012 - BARRIL SLIM (Tipo: 6012 - BARRIL SLIM);1.0;20;1.0;1.0;1.0;1.0;False;False;True;False;;;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;4.2;20.0;;;False;False
;;;2.0;Brasil;277;BRAHMA CHOPP LONG NECK 355ML SIX-PACK;True;True;False;False;True;0;0;0;0.0;20.0;1.0;LONG-NECK;4.0;1.0;20 - LONG-NECK (Tipo: 1 - CERVEJA);0.0;0;0.0;0.0;0.0;3.51;False;False;False;False;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;CERVEJA COM ALCOOL;False;False
;;;2.0;Brasil;279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4   ;True;True;False;False;True;7;84;84;24.0;3000.0;3000.0;Long Neck ;30.0;3000.0;3000 - Long Neck  (Tipo: 3000 - Long Neck );1.68;12;25.9;24.0;38.2;13.96;False;False;False;False;;;1.0;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;84.0;;;False;False
157;CDD Maceio - ZM;;2.0;Brasil;279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4   ;True;False;False;False;True;7;84;84;24.0;3000.0;3000.0;Long Neck ;30.0;3000.0;3000 - Long Neck  (Tipo: 3000 - Long Neck );1.68;12;25.9;24.0;38.2;13.96;False;False;False;False;;;0.0;;0.0;;0.0;;0.0;;0.0;;;;False;False
112;CDD-Londrina;;2.0;Brasil;279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4   ;True;False;False;False;True;7;84;84;24.0;3000.0;3000.0;Long Neck ;30.0;3000.0;3000 - Long Neck  (Tipo: 3000 - Long Neck );1.68;12;25.9;24.0;38.2;13.96;False;False;False;False;;;1.0;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;84.0;;;False;False
659;CDD Uberlandia - XU;;2.0;Brasil;279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4   ;True;False;False;False;True;7;84;84;24.0;3000.0;3000.0;Long Neck ;30.0;3000.0;3000 - Long Neck  (Tipo: 3000 - Long Neck );1.68;12;25.9;24.0;38.2;13.96;False;False;False;False;;;0.0;;0.0;;0.0;;0.0;;0.0;;;;False;False
771;CDD-Norte SP;;2.0;Brasil;279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4   ;True;False;False;False;True;7;84;84;24.0;3000.0;3000.0;Long Neck ;30.0;3000.0;3000 - Long Neck  (Tipo: 3000 - Long Neck );1.68;12;25.9;24.0;38.2;13.96;False;False;False;False;;;1.0;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;84.0;;;False;False
849_old;(Desativado) CDD Manaus - MD;;2.0;Brasil;279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4   ;True;False;False;False;True;7;84;84;24.0;3000.0;3000.0;Long Neck ;30.0;3000.0;3000 - Long Neck  (Tipo: 3000 - Long Neck );1.68;12;25.9;24.0;38.2;13.96;False;False;False;False;;;0.0;;0.0;;0.0;;0.0;;0.0;;;;False;False
543;CDD-Presidente Prudente;;2.0;Brasil;279;BRAHMA CHOPP LONG NECK 355ML SIX-PACK CAIXA C/4   ;True;False;False;False;True;7;84;84;24.0;3000.0;3000.0;Long Neck ;30.0;3000.0;3000 - Long Neck  (Tipo: 3000 - Long Neck );1.68;12;25.9;24.0;38.2;13.96;False;False;False;False;;;1.0;28.0;1.0;42.0;1.0;56.0;1.0;70.0;1.0;84.0;;;False;False
